,Mean FITC-A,Mean PE-A,Design,Guide
Specimen_003_B8_B08_007.fcs,582.8018799,985.0025635,pTG123(4) G1,1
Specimen_003_C2_C02_008.fcs,604.0733032,902.1443481,Guide 1 WT backbone,1
Specimen_003_C3_C03_009.fcs,504.5330505,770.9342041,Guide 2 WT backbone,2
Specimen_003_C4_C04_010.fcs,538.6505737,880.6897583,eCrimson,0
Specimen_003_C5_C05_011.fcs,7.331345558,109.432724,eCrimson (uninduced),0
Specimen_003_C6_C06_012.fcs,513.7758179,812.3361816,pTG123(2) G1,1
Specimen_003_C7_C07_013.fcs,639.3173828,875.512146,pTG123(3) G1,1
Specimen_003_C8_C08_014.fcs,566.9502563,926.3914185,pTG123(4) G1,1
Specimen_003_B2_B02_001.fcs,618.7442017,913.0372314,Guide 1 WT backbone,1
Specimen_003_B3_B03_002.fcs,545.7892456,863.173645,Guide 2 WT backbone,2
Specimen_003_B4_B04_003.fcs,571.5547485,918.7787476,eCrimson,0
Specimen_003_B5_B05_004.fcs,7.269058228,109.9406586,eCrimson (uninduced),0
Specimen_003_B6_B06_005.fcs,516.3826294,821.4370728,pTG123(2) G1,1
Specimen_003_B7_B07_006.fcs,687.447876,966.65802,pTG123(3) G1,1
Specimen_005_E7_E07_027.fcs,926.5838623,1021.912048,pTG123(4) G2,2
Specimen_005_E8_E08_028.fcs,683.2709961,981.2399292,pTG123(9) G2,2
Specimen_005_F2_F02_029.fcs,616.9813843,910.5362549,pTG123(6) G1,1
Specimen_005_F3_F03_030.fcs,505.8169861,797.6938477,pTG123(7) G1,1
Specimen_005_F4_F04_031.fcs,652.6660767,975.3161011,pTG123(8) G1,1
Specimen_005_F5_F05_032.fcs,591.4085693,911.4764404,pTG123(2) G2,2
Specimen_005_F6_F06_033.fcs,566.3118896,918.1957397,pTG123(3) G2,2
Specimen_005_F7_F07_034.fcs,841.3942871,961.5634155,pTG123(4) G2,2
Specimen_005_F8_F08_035.fcs,698.9244995,1023.263855,pTG123(9) G2,2
Specimen_003_D2_D02_015.fcs,613.2050781,867.1878052,Guide 1 WT backbone,1
Specimen_003_D3_D03_016.fcs,494.9603577,748.9786377,Guide 2 WT backbone,2
Specimen_003_D4_D04_017.fcs,491.5814209,805.2702026,eCrimson,0
Specimen_003_D5_D05_018.fcs,6.862131596,112.0560226,eCrimson (uninduced),0
Specimen_003_E2_E02_019.fcs,638.6229248,899.0895996,pTG123(6) G1,1
Specimen_003_E3_E03_020.fcs,525.5343628,819.7667847,pTG123(7) G1,1
Specimen_003_E4_E04_021.fcs,672.9789429,1002.464111,pTG123(8) G1,1
Specimen_003_E5_E05_022.fcs,609.8721924,933.895813,pTG123(2) G2,2
Specimen_004_D6_D06_023.fcs,NaN,NaN,pTG123(2) G1,1
Specimen_005_D7_D07_024.fcs,505.7640381,703.4370117,pTG123(3) G1,1
Specimen_005_D8_D08_025.fcs,575.6470947,943.1915894,pTG123(4) G1,1
Specimen_005_E6_E06_026.fcs,682.911438,1040.58252,pTG123(3) G2,2
